item|part|tier|name|rarity|vaulted
Ember Prime|Blueprint|Neo|E1|Rare|Yes
Ember Prime|Blueprint|Meso|E1|Rare|Yes
Ember Prime|Blueprint|Axi|E1|Rare|Yes
Ember Prime|Chassis Blueprint|Neo|F1|Common|Yes
Ember Prime|Chassis Blueprint|Meso|F2|Common|Yes
Ember Prime|Neuroptics Blueprint|Neo|S5|Common|Yes
Ember Prime|Neuroptics Blueprint|Meso|F3|Common|Yes
Ember Prime|Systems Blueprint|Axi|S2|Uncommon|Yes
Ember Prime|Systems Blueprint|Lith|G1|Uncommon|Yes
Equinox Prime|Blueprint|Axi|T4|Uncommon|No
Equinox Prime|Blueprint|Meso|A2|Uncommon|Yes
Equinox Prime|Blueprint|Axi|K5|Uncommon|Yes
Equinox Prime|Blueprint|Axi|T3|Uncommon|Yes
Equinox Prime|Chassis Blueprint|Lith|D2|Common|No
Equinox Prime|Chassis Blueprint|Lith|C6|Common|No
Equinox Prime|Chassis Blueprint|Lith|M4|Common|Yes
Equinox Prime|Chassis Blueprint|Axi|A8|Common|Yes
Equinox Prime|Chassis Blueprint|Axi|P1|Common|Yes
Equinox Prime|Chassis Blueprint|Lith|L2|Common|Yes
Equinox Prime|Neuroptics Blueprint|Neo|A3|Uncommon|No
Equinox Prime|Neuroptics Blueprint|Lith|L1|Uncommon|Yes
Equinox Prime|Neuroptics Blueprint|Meso|M3|Uncommon|Yes
Equinox Prime|Systems Blueprint|Meso|E4|Rare|No
Equinox Prime|Systems Blueprint|Meso|E2|Rare|Yes
Equinox Prime|Systems Blueprint|Meso|E3|Rare|Yes
Euphona Prime|Barrel|Neo|M1|Uncommon|Yes
Euphona Prime|Barrel|Meso|N3|Uncommon|Yes
Euphona Prime|Barrel|Meso|V5|Uncommon|Yes
Euphona Prime|Blueprint|Neo|N7|Common|Yes
Euphona Prime|Blueprint|Axi|O1|Common|Yes
Euphona Prime|Blueprint|Axi|B1|Common|Yes
Euphona Prime|Blueprint|Axi|N5|Common|Yes
Euphona Prime|Blueprint|Neo|L1|Common|Yes
Euphona Prime|Blueprint|Neo|K1|Common|Yes
Euphona Prime|Blueprint|Neo|H2|Common|Yes
Euphona Prime|Receiver|Axi|E2|Rare|Yes
Fang Prime|Blade|Lith|C6|Common|No
Fang Prime|Blade|Lith|F1|Common|Yes
Fang Prime|Blade|Axi|B1|Common|Yes
Fang Prime|Blade|Axi|R3|Common|Yes
Fang Prime|Blade|Lith|S5|Common|Yes
Fang Prime|Blade|Neo|S11|Common|Yes
Fang Prime|Blade|Meso|M2|Common|Yes
Fang Prime|Blade|Neo|I1|Common|Yes
Fang Prime|Blade|Lith|N1|Common|Yes
Fang Prime|Blade|Axi|O2|Common|Yes
Fang Prime|Blade|Axi|N1|Common|Yes
Fang Prime|Blade|Lith|P1|Common|Yes
Fang Prime|Blade|Neo|S12|Common|Yes
Fang Prime|Blade|Neo|S7|Common|Yes
Fang Prime|Blade|Lith|C1|Common|Yes
Fang Prime|Blade|Axi|B2|Common|Yes
Fang Prime|Blade|Neo|G3|Common|Yes
Fang Prime|Blade|Lith|S6|Common|Yes
Fang Prime|Blueprint|Axi|A11|Common|No
Fang Prime|Blueprint|Neo|T2|Common|No
Fang Prime|Blueprint|Neo|B2|Common|Yes
Fang Prime|Blueprint|Axi|L5|Common|Yes
Fang Prime|Blueprint|Meso|O4|Common|Yes
Fang Prime|Blueprint|Neo|N2|Common|Yes
Fang Prime|Blueprint|Meso|T1|Common|Yes
Fang Prime|Blueprint|Meso|S4|Common|Yes
Fang Prime|Blueprint|Axi|G4|Common|Yes
Fang Prime|Blueprint|Meso|R2|Common|Yes
Fang Prime|Blueprint|Lith|K1|Common|Yes
Fang Prime|Blueprint|Meso|Z1|Common|Yes
Fang Prime|Blueprint|Meso|N1|Common|Yes
Fang Prime|Blueprint|Lith|B6|Common|Yes
Fang Prime|Blueprint|Neo|H2|Common|Yes
Fang Prime|Blueprint|Lith|V2|Common|Yes
Fang Prime|Handle|Lith|D2|Uncommon|No
Fang Prime|Handle|Neo|V2|Common|Yes
Fang Prime|Handle|Meso|S4|Uncommon|Yes
Fang Prime|Handle|Meso|D3|Common|Yes
Fang Prime|Handle|Axi|A4|Uncommon|Yes
Fang Prime|Handle|Lith|Z1|Common|Yes
Fang Prime|Handle|Neo|N3|Uncommon|Yes
Fang Prime|Handle|Lith|W1|Uncommon|Yes
Fang Prime|Handle|Lith|F2|Uncommon|Yes
Fang Prime|Handle|Meso|N1|Common|Yes
Fang Prime|Handle|Axi|H2|Common|Yes
Fang Prime|Handle|Meso|N2|Common|Yes
Fang Prime|Handle|Lith|W2|Uncommon|Yes
Fang Prime|Handle|Axi|V6|Uncommon|Yes
Fang Prime|Handle|Meso|W1|Uncommon|Yes
Fang Prime|Handle|Axi|L3|Common|Yes
Forma|Blueprint|Axi|A5|Common|No
Forma|Blueprint|Neo|T2|Uncommon|No
Forma|Blueprint|Lith|K4|Common|No
Forma|Blueprint|Axi|S7|Common|No
Forma|Blueprint|Meso|P3|Uncommon|No
Forma|Blueprint|Meso|N9|Common|No
Forma|Blueprint|Meso|D5|Common|No
Forma|Blueprint|Neo|T3|Common|No
Forma|Blueprint|Neo|O1|Common|No
Forma|Blueprint|Neo|M3|Uncommon|No
Forma|Blueprint|Meso|E4|Common|No
Forma|Blueprint|Neo|I2|Common|No
Forma|Blueprint|Lith|D2|Common|No
Forma|Blueprint|Axi|W1|Uncommon|No
Forma|Blueprint|Lith|M6|Common|No
Forma|Blueprint|Meso|K3|Uncommon|No
Forma|Blueprint|Axi|V8|Common|No
Forma|Blueprint|Neo|Z5|Uncommon|No
Forma|Blueprint|Axi|A10|Common|No
Forma|Blueprint|Axi|B3|Common|No
Forma|Blueprint|Meso|P2|Common|No
Forma|Blueprint|Axi|A2|Common|No
Forma|Blueprint|Lith|P3|Common|No
Forma|Blueprint|Lith|C6|Common|No
Forma|Blueprint|Neo|N10|Common|Yes
Forma|Blueprint|Axi|O1|Common|Yes
Forma|Blueprint|Neo|B4|Common|Yes
Forma|Blueprint|Neo|N9|Uncommon|Yes
Forma|Blueprint|Meso|S3|Uncommon|Yes
Forma|Blueprint|Axi|S5|Uncommon|Yes
Forma|Blueprint|Neo|N11|Uncommon|Yes
Forma|Blueprint|Axi|E1|Uncommon|Yes
Forma|Blueprint|Lith|B4|Common|Yes
Forma|Blueprint|Meso|S5|Uncommon|Yes
Forma|Blueprint|Neo|A2|Uncommon|Yes
Forma|Blueprint|Neo|F1|Uncommon|Yes
Forma|Blueprint|Axi|S6|Common|Yes
Forma|Blueprint|Neo|S6|Common|Yes
Forma|Blueprint|Lith|A1|Common|Yes
Forma|Blueprint|Lith|M1|Common|Yes
Forma|Blueprint|Lith|Z2|Common|Yes
Forma|Blueprint|Neo|S3|Uncommon|Yes
Forma|Blueprint|Neo|B5|Common|Yes
Forma|Blueprint|Neo|E1|Uncommon|Yes
Forma|Blueprint|Neo|S8|Common|Yes
Forma|Blueprint|Axi|H1|Common|Yes
Forma|Blueprint|Lith|H2|Common|Yes
Forma|Blueprint|Lith|B3|Common|Yes
Forma|Blueprint|Meso|S2|Uncommon|Yes
Forma|Blueprint|Lith|T1|Common|Yes
Forma|Blueprint|Meso|R2|Common|Yes
Forma|Blueprint|Neo|N8|Uncommon|Yes
Forma|Blueprint|Neo|R2|Common|Yes
Forma|Blueprint|Axi|P3|Common|Yes
Forma|Blueprint|Neo|R1|Common|Yes
Forma|Blueprint|Neo|A1|Common|Yes
Forma|Blueprint|Axi|H4|Uncommon|Yes
Forma|Blueprint|Lith|Z1|Uncommon|Yes
Forma|Blueprint|Lith|S4|Common|Yes
Forma|Blueprint|Lith|N1|Uncommon|Yes
Forma|Blueprint|Lith|A2|Common|Yes
Forma|Blueprint|Neo|S1|Uncommon|Yes
Forma|Blueprint|Lith|K2|Uncommon|Yes
Forma|Blueprint|Meso|S9|Uncommon|Yes
Forma|Blueprint|Meso|S7|Common|Yes
Forma|Blueprint|Meso|Z3|Common|Yes
Forma|Blueprint|Lith|S8|Common|Yes
Forma|Blueprint|Lith|V2|Uncommon|Yes
Forma|Blueprint|Lith|M2|Uncommon|Yes
Forma|Blueprint|Lith|B1|Common|Yes
Forma|Blueprint|Axi|V5|Common|Yes
Forma|Blueprint|Meso|V4|Common|Yes
Forma|Blueprint|Meso|V3|Common|Yes
Forma|Blueprint|Neo|G2|Common|Yes
Forma|Blueprint|Neo|M2|Common|Yes
Forma|Blueprint|Axi|P1|Common|Yes
Forma|Blueprint|Lith|V8|Common|Yes
Forma|Blueprint|Lith|L1|Common|Yes
Forma|Blueprint|Lith|B2|Common|Yes
Forma|Blueprint|Meso|Z1|Common|Yes
Forma|Blueprint|Axi|V6|Common|Yes
Forma|Blueprint|Lith|M3|Common|Yes
Forma|Blueprint|Axi|G3|Common|Yes
Forma|Blueprint|Meso|V6|Common|Yes
Forma|Blueprint|Lith|S9|Common|Yes
Forma|Blueprint|Axi|G1|Uncommon|Yes
Forma|Blueprint|Axi|S1|Common|Yes
Forma|Blueprint|Neo|G3|Common|Yes
Forma|Blueprint|Neo|A4|Common|Yes
Forma|Blueprint|Lith|S6|Common|Yes
Forma|Blueprint|Axi|L1|Uncommon|Yes
Forma|Blueprint|Axi|S2|Uncommon|Yes
Forma|Blueprint|Axi|K4|Common|Yes
Forma|Blueprint|Neo|N5|Common|Yes
Forma|Blueprint|Lith|K3|Common|Yes
Forma|Blueprint|Meso|T1|Uncommon|Yes
Forma|Blueprint|Neo|N4|Uncommon|Yes
Forma|Blueprint|Axi|E2|Uncommon|Yes
Forma|Blueprint|Lith|V6|Uncommon|Yes
Forma|Blueprint|Axi|S4|Common|Yes
Forma|Blueprint|Lith|W2|Common|Yes
Forma|Blueprint|Neo|G1|Common|Yes
Forma|Blueprint|Meso|S8|Common|Yes
Forma|Blueprint|Axi|K1|Uncommon|Yes
Forma|Blueprint|Meso|V2|Uncommon|Yes
Forma|Blueprint|Axi|R2|Common|Yes
Forma|Blueprint|Axi|O3|Common|Yes
Forma|Blueprint|Meso|V1|Uncommon|Yes
Forma|Blueprint|Axi|V4|Uncommon|Yes
Forma|Blueprint|Neo|B3|Common|Yes
Forma|Blueprint|Neo|B2|Uncommon|Yes
Forma|Blueprint|Meso|T2|Common|Yes
Forma|Blueprint|Lith|W1|Common|Yes
Forma|Blueprint|Neo|N1|Common|Yes
Forma|Blueprint|Axi|K2|Common|Yes
Forma|Blueprint|Neo|N2|Uncommon|Yes
Forma|Blueprint|Meso|T3|Common|Yes
Forma|Blueprint|Axi|D2|Uncommon|Yes
Forma|Blueprint|Meso|D1|Common|Yes
Forma|Blueprint|Axi|C1|Uncommon|Yes
Forma|Blueprint|Axi|L2|Uncommon|Yes
Forma|Blueprint|Neo|V2|Uncommon|Yes
Forma|Blueprint|Axi|C2|Common|Yes
Forma|Blueprint|Axi|H3|Uncommon|Yes
Forma|Blueprint|Meso|N6|Common|Yes
Forma|Blueprint|Meso|N5|Common|Yes
Forma|Blueprint|Meso|N4|Uncommon|Yes
Forma|Blueprint|Axi|T5|Uncommon|Yes
Forma|Blueprint|Neo|V3|Uncommon|Yes
Forma|Blueprint|Axi|B2|Uncommon|Yes
Forma|Blueprint|Axi|K5|Common|Yes
Forma|Blueprint|Lith|C5|Common|Yes
Forma|Blueprint|Meso|C1|Common|Yes
Forma|Blueprint|Neo|V1|Common|Yes
Forma|Blueprint|Meso|N7|Uncommon|Yes
Forma|Blueprint|Meso|D4|Common|Yes
Forma|Blueprint|Lith|P1|Uncommon|Yes
Forma|Blueprint|Meso|B1|Common|Yes
Forma|Blueprint|Lith|O2|Uncommon|Yes
Forma|Blueprint|Axi|N3|Common|Yes
Forma|Blueprint|Meso|C4|Uncommon|Yes
Forma|Blueprint|Neo|Z1|Uncommon|Yes
Forma|Blueprint|Lith|F1|Common|Yes
Forma|Blueprint|Lith|G1|Uncommon|Yes
Forma|Blueprint|Axi|V9|Common|Yes
Forma|Blueprint|Neo|V6|Common|Yes
Forma|Blueprint|Axi|C3|Common|Yes
Forma|Blueprint|Neo|D1|Uncommon|Yes
Forma|Blueprint|Meso|N1|Uncommon|Yes
Forma|Blueprint|Meso|E1|Uncommon|Yes
Forma|Blueprint|Lith|C4|Common|Yes
Forma|Blueprint|Neo|V7|Common|Yes
Forma|Blueprint|Lith|S2|Uncommon|Yes
Forma|Blueprint|Axi|N1|Common|Yes
Forma|Blueprint|Lith|C1|Uncommon|Yes
Forma|Blueprint|Meso|B3|Common|Yes
Forma|Blueprint|Neo|V5|Uncommon|Yes
Forma|Blueprint|Axi|A8|Uncommon|Yes
Forma|Blueprint|Neo|Z4|Uncommon|Yes
Forma|Blueprint|Axi|N2|Uncommon|Yes
Forma|Blueprint|Lith|S1|Uncommon|Yes
Forma|Blueprint|Lith|T3|Uncommon|Yes
Forma|Blueprint|Lith|O1|Uncommon|Yes
Forma|Blueprint|Meso|N2|Uncommon|Yes
Forma|Blueprint|Axi|T2|Uncommon|Yes
Forma|Blueprint|Neo|Z3|Common|Yes
Forma|Blueprint|Meso|N8|Common|Yes
Forma|Blueprint|Meso|E3|Common|Yes
Forma|Blueprint|Axi|V1|Uncommon|Yes
Forma|Blueprint|Neo|S13|Uncommon|Yes
Forma|Blueprint|Meso|F3|Uncommon|Yes
Forma|Blueprint|Meso|A1|Uncommon|Yes
Forma|Blueprint|Meso|F2|Uncommon|Yes
Forma|Blueprint|Lith|N3|Uncommon|Yes
Forma|Blueprint|Meso|A2|Common|Yes
Forma|Blueprint|Neo|T1|Common|Yes
Forma|Blueprint|Meso|O1|Common|Yes
Forma|Blueprint|Lith|T2|Common|Yes
Forma|Blueprint|Neo|S11|Uncommon|Yes
Forma|Blueprint|Meso|D2|Common|Yes
Forma|Blueprint|Neo|V8|Uncommon|Yes
Forma|Blueprint|Meso|O4|Common|Yes
Forma|Blueprint|Lith|P2|Common|Yes
Forma|Blueprint|Axi|L4|Common|Yes
Forma|Blueprint|Neo|S9|Uncommon|Yes
Forma|Blueprint|Meso|C5|Uncommon|Yes
Forma|Blueprint|Meso|D1|Uncommon|Yes
Forma|Blueprint|Meso|O3|Common|Yes
Forma|Blueprint|Meso|G1|Common|Yes
Forma|Blueprint|Axi|D1|Uncommon|Yes
Forma|Blueprint|Lith|V1|Uncommon|Yes
Forma|Blueprint|Axi|A4|Common|Yes
Forma|Blueprint|Axi|A7|Uncommon|Yes
Forma|Blueprint|Axi|T3|Uncommon|Yes
Forma|Blueprint|Lith|N4|Common|Yes
Fragor Prime|Blueprint|Neo|S8|Uncommon|Yes
Fragor Prime|Blueprint|Meso|F1|Rare|Yes
Fragor Prime|Blueprint|Meso|H1|Uncommon|Yes
Fragor Prime|Blueprint|Lith|F1|Rare|Yes
Fragor Prime|Blueprint|Axi|A7|Uncommon|Yes
Fragor Prime|Handle|Axi|C2|Uncommon|Yes
Fragor Prime|Handle|Neo|V6|Uncommon|Yes
Fragor Prime|Handle|Lith|V1|Rare|Yes
Fragor Prime|Handle|Lith|V8|Uncommon|Yes
Fragor Prime|Handle|Axi|N4|Uncommon|Yes
Fragor Prime|Handle|Neo|T1|Uncommon|Yes
Fragor Prime|Head|Neo|H1|Common|Yes
Fragor Prime|Head|Axi|H1|Common|Yes
Fragor Prime|Head|Lith|V7|Common|Yes
Fragor Prime|Head|Axi|B2|Common|Yes
Fragor Prime|Head|Axi|A1|Common|Yes
Frost Prime|Blueprint|Meso|F3|Rare|Yes
Frost Prime|Blueprint|Neo|F1|Rare|Yes
Frost Prime|Blueprint|Meso|F2|Rare|Yes
Frost Prime|Chassis Blueprint|Meso|E1|Common|Yes
Frost Prime|Chassis Blueprint|Lith|G1|Common|Yes
Frost Prime|Neuroptics Blueprint|Neo|E1|Common|Yes
Frost Prime|Neuroptics Blueprint|Axi|E1|Common|Yes
Frost Prime|Systems Blueprint|Neo|S5|Uncommon|Yes
Frost Prime|Systems Blueprint|Lith|G2|Uncommon|Yes
Galatine Prime|Blade|Neo|V3|Common|Yes
Galatine Prime|Blade|Lith|T3|Common|Yes
Galatine Prime|Blade|Axi|O2|Common|Yes
Galatine Prime|Blade|Meso|S2|Common|Yes
Galatine Prime|Blade|Meso|C2|Common|Yes
Galatine Prime|Blade|Neo|N6|Common|Yes
Galatine Prime|Blade|Axi|N4|Common|Yes
Galatine Prime|Blade|Lith|S7|Common|Yes
Galatine Prime|Blade|Neo|V2|Common|Yes
Galatine Prime|Blade|Meso|S4|Common|Yes
Galatine Prime|Blade|Meso|S6|Common|Yes
Galatine Prime|Blueprint|Neo|G3|Rare|Yes
Galatine Prime|Blueprint|Axi|G1|Rare|Yes
Galatine Prime|Blueprint|Meso|G1|Rare|Yes
Galatine Prime|Handle|Meso|O4|Uncommon|Yes
Galatine Prime|Handle|Lith|S5|Uncommon|Yes
Galatine Prime|Handle|Neo|Z1|Uncommon|Yes
Galatine Prime|Handle|Axi|K2|Uncommon|Yes
Galatine Prime|Handle|Neo|V2|Uncommon|Yes
Galatine Prime|Handle|Axi|O1|Uncommon|Yes
Galatine Prime|Handle|Axi|V6|Uncommon|Yes
Glaive Prime|Blade|Axi|E1|Uncommon|Yes
Glaive Prime|Blade|Axi|L1|Uncommon|Yes
Glaive Prime|Blueprint|Lith|G1|Rare|Yes
Glaive Prime|Blueprint|Lith|G2|Rare|Yes
Glaive Prime|Disc|Neo|S5|Uncommon|Yes
Glaive Prime|Disc|Meso|F3|Uncommon|Yes
Gram Prime|Blade|Lith|N4|Common|Yes
Gram Prime|Blade|Meso|S8|Common|Yes
Gram Prime|Blade|Axi|A9|Common|Yes
Gram Prime|Blade|Lith|S8|Common|Yes
Gram Prime|Blade|Meso|M3|Common|Yes
Gram Prime|Blade|Lith|W1|Common|Yes
Gram Prime|Blueprint|Lith|P2|Uncommon|Yes
Gram Prime|Blueprint|Axi|T5|Uncommon|Yes
Gram Prime|Blueprint|Meso|N7|Uncommon|Yes
Gram Prime|Blueprint|Axi|O4|Uncommon|Yes
Gram Prime|Blueprint|Axi|A8|Uncommon|Yes
Gram Prime|Handle|Axi|G3|Rare|Yes
Gram Prime|Handle|Neo|G1|Rare|Yes
Gram Prime|Handle|Neo|G2|Rare|Yes
Gram Prime|Handle|Axi|G2|Rare|Yes
Gram Prime|Handle|Axi|G4|Rare|Yes
Helios Prime|Blueprint|Lith|C3|Uncommon|Yes
Helios Prime|Blueprint|Neo|M1|Uncommon|Yes
Helios Prime|Blueprint|Meso|Z1|Uncommon|Yes
Helios Prime|Blueprint|Lith|N2|Uncommon|Yes
Helios Prime|Blueprint|Neo|K1|Uncommon|Yes
Helios Prime|Blueprint|Meso|C3|Uncommon|Yes
Helios Prime|Blueprint|Lith|V4|Uncommon|Yes
Helios Prime|Carapace|Neo|N5|Common|Yes
Helios Prime|Carapace|Axi|H3|Common|Yes
Helios Prime|Carapace|Lith|P1|Common|Yes
Helios Prime|Carapace|Neo|S7|Common|Yes
Helios Prime|Carapace|Neo|V5|Common|Yes
Helios Prime|Carapace|Axi|A3|Common|Yes
Helios Prime|Carapace|Meso|S6|Common|Yes
Helios Prime|Carapace|Axi|C3|Common|Yes
Helios Prime|Cerebrum|Meso|H1|Rare|Yes
Helios Prime|Cerebrum|Lith|H2|Rare|Yes
Helios Prime|Cerebrum|Axi|H1|Rare|Yes
Helios Prime|Cerebrum|Lith|H1|Rare|Yes
Helios Prime|Cerebrum|Axi|H2|Rare|Yes
Helios Prime|Systems|Lith|Z2|Uncommon|Yes
Helios Prime|Systems|Lith|V3|Uncommon|Yes
Helios Prime|Systems|Meso|D2|Uncommon|Yes
Helios Prime|Systems|Axi|O2|Uncommon|Yes
Helios Prime|Systems|Axi|N5|Uncommon|Yes
Hikou Prime|Blueprint|Neo|R1|Common|Yes
Hikou Prime|Blueprint|Meso|N2|Common|Yes
Hikou Prime|Blueprint|Lith|S1|Common|Yes
Hikou Prime|Pouch|Axi|K1|Common|Yes
Hikou Prime|Pouch|Axi|V2|Common|Yes
Hikou Prime|Pouch|Meso|N6|Common|Yes
Hikou Prime|Stars|Neo|N1|Common|Yes
Hikou Prime|Stars|Axi|S3|Common|Yes
Hikou Prime|Stars|Lith|F2|Common|Yes
Hydroid Prime|Blueprint|Meso|N5|Uncommon|Yes
Hydroid Prime|Blueprint|Meso|Z2|Uncommon|Yes
Hydroid Prime|Blueprint|Meso|B2|Uncommon|Yes
Hydroid Prime|Blueprint|Axi|K5|Uncommon|Yes
Hydroid Prime|Chassis Blueprint|Neo|B4|Common|Yes
Hydroid Prime|Chassis Blueprint|Neo|N8|Common|Yes
Hydroid Prime|Chassis Blueprint|Axi|C4|Common|Yes
Hydroid Prime|Chassis Blueprint|Meso|H1|Common|Yes
Hydroid Prime|Chassis Blueprint|Neo|S11|Common|Yes
Hydroid Prime|Chassis Blueprint|Neo|S8|Common|Yes
Hydroid Prime|Chassis Blueprint|Axi|C3|Common|Yes
Hydroid Prime|Neuroptics Blueprint|Neo|G1|Uncommon|Yes
Hydroid Prime|Neuroptics Blueprint|Axi|N4|Uncommon|Yes
Hydroid Prime|Neuroptics Blueprint|Axi|A3|Uncommon|Yes
Hydroid Prime|Systems Blueprint|Axi|H3|Rare|Yes
Hydroid Prime|Systems Blueprint|Axi|H4|Rare|Yes
Hydroid Prime|Systems Blueprint|Neo|H1|Rare|Yes
Hydroid Prime|Systems Blueprint|Neo|H2|Rare|Yes
Inaros Prime|Blueprint|Axi|W1|Uncommon|No
Inaros Prime|Chassis Blueprint|Neo|T3|Uncommon|No
Inaros Prime|Neuroptics Blueprint|Meso|I1|Rare|No
Inaros Prime|Systems Blueprint|Lith|M6|Common|No
Ivara Prime|Blueprint|Axi|B4|Uncommon|No
Ivara Prime|Blueprint|Meso|N9|Uncommon|No
Ivara Prime|Blueprint|Lith|N4|Uncommon|Yes
Ivara Prime|Chassis Blueprint|Neo|I2|Rare|No
Ivara Prime|Chassis Blueprint|Neo|I1|Rare|Yes
Ivara Prime|Neuroptics Blueprint|Meso|N10|Common|No
Ivara Prime|Neuroptics Blueprint|Neo|M3|Common|No
Ivara Prime|Neuroptics Blueprint|Meso|C4|Common|Yes
Ivara Prime|Systems Blueprint|Meso|P2|Uncommon|No
Ivara Prime|Systems Blueprint|Axi|A9|Uncommon|Yes
Karyst Prime|Blade|Meso|K3|Rare|No
Karyst Prime|Blueprint|Meso|P3|Common|No
Karyst Prime|Handle|Axi|B4|Uncommon|No
Kavasa Prime|Band|Neo|N12|Uncommon|No
Kavasa Prime|Band|Lith|S2|Uncommon|Yes
Kavasa Prime|Band|Lith|N2|Uncommon|Yes
Kavasa Prime|Band|Lith|C1|Uncommon|Yes
Kavasa Prime|Band|Lith|S6|Uncommon|Yes
Kavasa Prime|Band|Meso|V3|Uncommon|Yes
Kavasa Prime|Buckle|Lith|K4|Rare|No
Kavasa Prime|Buckle|Axi|K1|Rare|Yes
Kavasa Prime|Buckle|Axi|B1|Uncommon|Yes
Kavasa Prime|Buckle|Lith|K1|Rare|Yes
Kavasa Prime|Buckle|Neo|S6|Uncommon|Yes
Kavasa Prime|Collar Blueprint|Axi|S7|Uncommon|No
Kavasa Prime|Collar Blueprint|Axi|G1|Uncommon|Yes
Kavasa Prime|Collar Blueprint|Neo|N1|Uncommon|Yes
Kavasa Prime|Collar Blueprint|Lith|S4|Uncommon|Yes
Kogake Prime|Blueprint|Axi|P1|Uncommon|Yes
Kogake Prime|Blueprint|Axi|C4|Uncommon|Yes
Kogake Prime|Blueprint|Axi|K4|Uncommon|Yes
Kogake Prime|Blueprint|Meso|M3|Uncommon|Yes
Kogake Prime|Blueprint|Axi|V7|Uncommon|Yes
Kogake Prime|Boot|Axi|T2|Common|Yes
Kogake Prime|Boot|Meso|M2|Common|Yes
Kogake Prime|Boot|Axi|A3|Common|Yes
Kogake Prime|Boot|Lith|L1|Common|Yes
Kogake Prime|Boot|Neo|G1|Common|Yes
Kogake Prime|Gauntlet|Neo|K2|Rare|Yes
Kogake Prime|Gauntlet|Neo|K1|Rare|Yes
Kogake Prime|Gauntlet|Lith|K2|Rare|Yes
Kogake Prime|Gauntlet|Meso|K1|Rare|Yes
Kronen Prime|Blade|Lith|K3|Rare|Yes
Kronen Prime|Blade|Axi|K5|Rare|Yes
Kronen Prime|Blade|Meso|K2|Rare|Yes
Kronen Prime|Blade|Axi|K2|Rare|Yes
Kronen Prime|Blade|Axi|K3|Rare|Yes
Kronen Prime|Blade|Axi|K4|Rare|Yes
Kronen Prime|Blueprint|Neo|L1|Common|Yes
Kronen Prime|Blueprint|Axi|H3|Common|Yes
Kronen Prime|Blueprint|Axi|L3|Common|Yes
Kronen Prime|Blueprint|Neo|A2|Common|Yes
Kronen Prime|Blueprint|Neo|Z4|Common|Yes
Kronen Prime|Blueprint|Neo|C1|Common|Yes
Kronen Prime|Blueprint|Meso|N7|Common|Yes
Kronen Prime|Handle|Neo|S11|Uncommon|Yes
Kronen Prime|Handle|Neo|B4|Uncommon|Yes
Kronen Prime|Handle|Axi|L5|Uncommon|Yes
Kronen Prime|Handle|Axi|G3|Uncommon|Yes
Kronen Prime|Handle|Meso|B2|Uncommon|Yes
Kronen Prime|Handle|Meso|D3|Uncommon|Yes
Kronen Prime|Handle|Meso|A1|Uncommon|Yes
Latron Prime|Barrel|Axi|E1|Common|Yes
Latron Prime|Barrel|Meso|E1|Common|Yes
Latron Prime|Blueprint|Lith|G1|Common|Yes
Latron Prime|Blueprint|Axi|L1|Common|Yes
Latron Prime|Receiver|Neo|S5|Common|Yes
Latron Prime|Receiver|Axi|S2|Common|Yes
Latron Prime|Stock|Lith|G2|Common|Yes
Latron Prime|Stock|Meso|F2|Common|Yes
Lex Prime|Barrel|Axi|A2|Common|No
Lex Prime|Barrel|Neo|A3|Common|No
Lex Prime|Barrel|Neo|Z5|Common|No
Lex Prime|Barrel|Lith|H2|Common|Yes
Lex Prime|Barrel|Lith|B6|Common|Yes
Lex Prime|Barrel|Lith|T2|Common|Yes
Lex Prime|Barrel|Lith|V2|Common|Yes
Lex Prime|Barrel|Axi|N5|Common|Yes
Lex Prime|Barrel|Meso|T2|Common|Yes
Lex Prime|Barrel|Meso|V4|Common|Yes
Lex Prime|Barrel|Axi|K1|Common|Yes
Lex Prime|Barrel|Axi|M1|Common|Yes
Lex Prime|Barrel|Neo|S1|Common|Yes
Lex Prime|Barrel|Lith|A2|Common|Yes
Lex Prime|Barrel|Meso|S5|Common|Yes
Lex Prime|Barrel|Meso|S9|Common|Yes
Lex Prime|Barrel|Neo|N3|Common|Yes
Lex Prime|Barrel|Axi|V7|Common|Yes
Lex Prime|Barrel|Meso|T3|Common|Yes
Lex Prime|Blueprint|Axi|A2|Uncommon|No
Lex Prime|Blueprint|Meso|P3|Common|No
Lex Prime|Blueprint|Neo|N2|Common|Yes
Lex Prime|Blueprint|Axi|G3|Common|Yes
Lex Prime|Blueprint|Meso|C3|Common|Yes
Lex Prime|Blueprint|Axi|A9|Common|Yes
Lex Prime|Blueprint|Lith|S7|Common|Yes
Lex Prime|Blueprint|Meso|D1|Common|Yes
Lex Prime|Blueprint|Lith|C3|Common|Yes
Lex Prime|Blueprint|Axi|O4|Common|Yes
Lex Prime|Blueprint|Lith|S4|Common|Yes
Lex Prime|Blueprint|Lith|V5|Common|Yes
Lex Prime|Blueprint|Neo|S10|Common|Yes
Lex Prime|Blueprint|Meso|D4|Uncommon|Yes
Lex Prime|Blueprint|Neo|Z2|Common|Yes
Lex Prime|Blueprint|Lith|A3|Common|Yes
Lex Prime|Receiver|Lith|D1|Common|No
Lex Prime|Receiver|Axi|A2|Common|No
Lex Prime|Receiver|Axi|V8|Common|No
Lex Prime|Receiver|Axi|C1|Common|Yes
Lex Prime|Receiver|Axi|R2|Common|Yes
